Athlete_ID,Age,Gender,Height_cm,Weight_kg,Training_Hours_per_Week,Sprint_Time_sec,Endurance_Test_Score,Injury_Rate,Motivation_Score,Diet_Quality,Recovery_Hours_per_Night,Coach_Experience_Years,Team_Cohesion_Score,Mental_Resilience,Nutrition_Adherence,Equipment_Quality,Physiotherapy_Sessions
1,24,Female,170.628,69.04712463640844,6,11.825422535211274,75,Medium,92,Low,7.54,23,98,68,71.88028169014085,Moderate,2
,37,Male,175.016,75.74199201,17,13.7,93,High,89,Moderate,7.16,14,93,62,52,High,6
3,32,Male,168.531,77.38211551,18,9.53,62,Low,91,High,8.12,4,77,80,71,High,2
4,28,Female,171.806,47.08821061,15,10.51,96,Medium,74,High,5.43,14.47887323943662,96,85,55,Moderate,2
5,25,Female,179.648,72.70738758,15,11.14,40,Low,75.65492957746478,High,8.04,8,64,67,51,High,9
6,38,Female,159.352,86.06562286,15,11.7,93,Medium,84,Low,7.17,29,55,79.16901408450704,72,Low,4
7,24,Female,171.087,81.46717353,7,13.33,94,High,52,Moderate,8.85,23,93,65,93,Moderate,4.859154929577465
8,36,Female,171.058,53.33254281,19,9.9,90,High,75.65492957746478,Low,6.37,21,69,87,51,Moderate,5
9,28,Female,179.207,57.06077318,13,13.13,79,Medium,86,Low,7.53,23,99,79.16901408450704,87,Low,7
10,28,Female,167.733,81.85890984,11,9.75,54,High,93,Moderate,8.73,19,63,85,66,Low,9
11,38,Female,176.53,79.49278656,11,13.29,60,Medium,93,Low,5.41,12,51,84,84,Low,5
12,21,Male,181.027,36.18761981,19,9.73,86,Medium,79,Moderate,8.75,18,58,71,83,Low,4.859154929577465
13,25,Female,151.502,33.15110281,15,9.58,48,Low,87,High,7.75,6,86,64,72,High,7
14,20,Female,181.686,68.85201908,10,12.64,92,High,83,Moderate,5.27,18,75.28169014084507,93,79,Low,7
15,39,Male,160.146,61.15520715,12,13.99,48,Low,61,High,6.2,19,75,96,57,Moderate,8
16,38,Female,169.96378169014085,65.52548165,8,13.53,49,High,68,Low,7.83,22,78,74,71,Moderate,8
17,19,Male,141.205,63.83064114,12,12.09,91,Low,86,Low,5.27,5,50,95,93,High,1
18,29,Female,161.968,84.76035317,8,13.63,96,High,93,High,7.33,24,84,74,85,Moderate,1
19,23,Female,169.951,71.55352127,12,9.52,92,Low,98,Low,6.38,9,55,82,54,Moderate,4.859154929577465
20,19,Male,166.167,74.01454021,13,13.89,65,Medium,66,Moderate,6.960140845070424,27,86,65,62,Low,4.859154929577465
21,38,Male,165.375,49.8653076,7,11.71,80,Medium,59,High,5.18,14.47887323943662,54,80,78,Moderate,3
22,18,Male,158.875,19.5385671,7,12.75,74,Low,98,Low,8.49,28,82,82,80,High,3
23,29,Male,178.672,86.85312673,15,13.19,91,High,96,High,8.89,10,98,75,96,Low,8
24,39,Female,179.584,102.1480778,17,12.73,64,Medium,61,Moderate,8.88,19,63,74,65,Low,8
25,29,Male,174.181,64.86116698,6,11.91,65,High,65,Moderate,8,3,61,84,91,High,8
26,34,Female,151.135,73.73971812,17,11.64,50,Medium,73,Low,5.52,29,91,95,79,High,9
27,27,Male,192.733,74.86777475,14,13.27,77,High,68,Moderate,8.03,29,69,70,65,Low,6
28,33,Male,171.47,95.12939875,7,10.42,41,Medium,57,High,5.1,22,99,74,61,High,1
29,32,Female,175.396,83.33476441,7,13.86,46,High,80,Moderate,6.960140845070424,15,73,63,66,Low,9
30,32,Male,155.017,77.4409635,9,12.7,57,High,70,High,6.29,1,92,80,65,High,4
31,36,Female,169.886,70.83358235,9,10.4,71.5,High,66,High,6.960140845070424,7,83,72,61,High,3
,29,Female,174.134,70.90349382,12.492957746478874,12.81,73,Low,72,Moderate,8.08,12,74,81,57,Moderate,7
33,37,Male,168.591,48.40807605,16,11.88,66,Low,75.65492957746478,Low,7.73,17,99,78,69,Moderate,1
34,28.176056338028168,Male,178.722,64.24768711,12.492957746478874,12.68,56,Medium,65,Moderate,6.78,21,75.28169014084507,93,52,Low,5
35,22,Female,183.003,83.29302949,17,12.96,82,Medium,55,High,6.09,26,88,73,65,Low,4
36,36,Male,169.96378169014085,66.49445231,10,9.89,98,Low,57,High,8.99,29,80,63,79,High,1
37,24,Male,178.501,70.66525836,9,11.78,83,Medium,74,Moderate,6.7,24,75.28169014084507,86,94,Low,9
,38,Male,173.943,52.35808783,10,13.69,98,Low,67,Low,6.81,14.47887323943662,92,88,72,High,4.859154929577465
39,26,Female,169.953,76.68260352,5,10.94,90,High,74,Low,5.65,5,99,87,77,High,7
40,24,Female,154.292,48.07365016,9,12.17,93,Medium,61,High,8.18,4,72,94,89,Low,1
