Athlete_ID,Age,Gender,Height_cm,Weight_kg,Training_Hours_per_Week,Sprint_Time_sec,Endurance_Test_Score,Injury_Rate,Motivation_Score,Diet_Quality,Recovery_Hours_per_Night,Coach_Experience_Years,Team_Cohesion_Score,Mental_Resilience,Nutrition_Adherence,Equipment_Quality,Physiotherapy_Sessions,Recovery_Hours_per_Night_normalized,Training_Hours_per_Week_normalized,Sprint_Time_sec_normalized,Endurance_Test_Score_normalized
,37,Male,175.016,75.74199201,17,13.7,93,High,89,Moderate,7.16,14,93,62,52,High,6,0.1907826264075186,1.0513956066695773,1.4914417186696822,1.144495945617082
3,32,Male,168.531,77.38211551,18,9.53,62,Low,91,High,8.12,4,77,80,71,,2,1.00344525506529,1.2865506314514976,-1.7337618470491012,-0.5893506989748705
4,28,Female,171.806,47.08821061,15,10.51,96,Medium,74,High,5.43,,96,85,55,Moderate,2,-1.2737031523195086,0.5810855571057368,-0.9758003375996026,1.312287556384045
5,25,Female,179.648,72.70738758,15,11.14,40,Low,,High,8.04,8,64,67,51,High,9,0.935723369343809,0.5810855571057368,-0.4885393672392102,-1.8198225112659334
6,38,Female,159.352,86.06562286,15,11.7,93,Medium,84,Low,7.17,29,55,,72,Low,4,0.19924786212270357,0.5810855571057368,-0.05541850469664075,1.144495945617082
7,24,Female,171.087,81.46717353,7,13.33,94,High,52,Moderate,8.85,23,93,65,93,Moderate,,1.6214074622738046,-1.3001546411496254,1.205272577346913,1.2004264825394029
8,36,Female,171.058,53.33254281,19,9.9,90,High,,Low,6.37,21,69,87,51,Moderate,5,-0.47797099509210644,1.521705656233418,-1.4475927057263307,0.9767043348501188
9,28,Female,179.207,57.06077318,13,13.13,79,Medium,86,Low,7.53,23,99,,87,Low,7,0.5039963478693684,0.11077550754189633,1.0505865550102813,0.3614684287045873
10,28,,167.733,81.85890984,11,9.75,54,High,93,Moderate,8.73,19,63,85,66,Low,9,1.5198246336915837,-0.35953454202194424,-1.5636072224788051,-1.036794994353439
11,38,Female,176.53,79.49278656,11,13.29,60,Medium,93,Low,5.41,12,51,84,84,Low,5,-1.2906336237498786,-0.35953454202194424,1.174335372879586,-0.7012117728195126
12,21,Male,181.027,36.18761981,19,9.73,86,,79,Moderate,8.75,18,58,71,83,Low,0,1.5367551051219537,1.521705656233418,-1.579075824712468,0.7529821871608345
13,25,Female,151.502,33.15110281,15,9.58,48,Low,87,High,7.75,6,86,64,72,High,7,0.690231533603441,0.5810855571057368,-1.6950903414649425,-1.3723782158873652
14,20,Female,181.686,68.85201908,10,12.64,92,High,83,Moderate,5.27,18,,93,79,Low,7,-1.4091469237624707,-0.5946895668038645,0.6716058002855321,1.088565408694761
15,39,Male,160.146,61.15520715,12,13.99,48,Low,61,High,6.2,19,75,96,57,Moderate,8,-0.6218800022502535,-0.12437951724002395,1.7157364510577997,-1.3723782158873652
16,38,Female,,65.52548165,8,13.53,49,High,68,Low,7.83,22,78,74,71,Moderate,8,0.7579534193249221,-1.0649996163677051,1.3599585996835448,-1.316447678965044
17,19,Male,141.205,63.83064114,12,12.09,91,Low,86,Low,5.27,5,50,95,93,High,1,-1.4091469237624707,-0.12437951724002395,0.2462192388597927,1.0326348717724398
18,29,,161.968,84.76035317,8,13.63,96,High,93,High,7.33,24,84,74,85,Moderate,1,0.3346916335656657,-1.0649996163677051,1.4373016108518621,1.312287556384045
19,23,Female,169.951,71.55352127,12,9.52,92,Low,98,Low,6.38,9,55,82,54,Moderate,,-0.46950575937692146,-0.12437951724002395,-1.7414961481659326,1.088565408694761
21,38,Male,165.375,49.8653076,7,11.71,80,Medium,59,High,5.18,,54,80,78,Moderate,3,-1.4853340451991368,-1.3001546411496254,-0.047684203579807925,0.4173989656269083
22,18,Male,158.875,19.5385671,7,12.75,74,Low,98,Low,8.49,28,82,82,80,High,3,1.3166589765271406,-1.3001546411496254,0.7566831125706793,0.08181574409298203
23,29,Male,178.672,86.85312673,15,13.19,91,High,96,,8.89,10,98,75,96,Low,8,1.6552684051345459,0.5810855571057368,1.09699236171127,1.0326348717724398
24,39,,179.584,102.1480778,17,12.73,64,,61,Moderate,8.88,19,63,74,65,Low,8,1.646803169419361,1.0513956066695773,0.7412145103370165,-0.4774896251302284
25,29,Male,174.181,64.86116698,6,11.91,65,High,65,Moderate,8,3,61,84,91,High,8,0.9018624264830691,-1.5353096659315455,0.10700181875682382,-0.4215590882079074
26,34,Female,151.135,73.73971812,17,11.64,50,Medium,73,Low,5.52,29,91,95,79,,9,-1.1975160308828428,1.0513956066695773,-0.10182431139762946,-1.260517142042723
27,27,Male,192.733,74.86777475,14,13.27,77,High,68,Moderate,8.03,29,69,70,65,Low,6,0.927258133628624,0.3459305323238166,1.158866770645923,0.24960735485994517
28,33,Male,171.47,95.12939875,7,10.42,41,Medium,57,High,5.1,22,99,74,61,High,1,-1.553055930920618,-1.3001546411496254,-1.0454090476510869,-1.7638919743436126
30,32,Male,155.017,77.4409635,9,12.7,57,High,70,High,6.29,1,92,80,65,High,4,-0.5456928808135875,-0.8298445915857847,0.7180116069865208,-0.8690033835864758
33,37,Male,168.591,48.40807605,16,11.88,66,Low,,Low,7.73,17,99,78,69,Moderate,1,0.6733010621730711,0.8162405818876571,0.08379891540632947,-0.3656285512855863
35,22,Female,183.003,83.29302949,17,12.96,82,Medium,55,High,6.09,26,88,73,65,Low,4,-0.7149975951172902,1.0513956066695773,0.9191034360241439,0.5292600394715504
36,36,Male,,66.49445231,10,9.89,98,Low,57,High,8.99,29,80,63,79,High,1,1.7399207622863968,-0.5946895668038645,-1.455327006843162,1.4241486302286872
37,24,Male,178.501,70.66525836,9,11.78,83,Medium,74,Moderate,6.7,24,,86,94,Low,9,-0.19861821649099717,-0.8298445915857847,0.006455904238012224,0.5851905763938714
,38,Male,173.943,52.35808783,10,13.69,98,Low,67,Low,6.81,,92,88,72,High,0,-0.10550062362396127,-0.5946895668038645,1.4837074175528508,1.4241486302286872
39,26,Female,169.953,76.68260352,5,10.94,90,High,74,Low,5.65,5,99,87,77,High,7,-1.0874679665854354,-1.7704646907134658,-0.6432253895758433,0.9767043348501188
40,24,Female,154.292,48.07365016,9,12.17,93,Medium,61,High,8.18,4,72,94,89,Low,1,1.0542366693564011,-0.8298445915857847,0.30809364779444565,1.144495945617082
41,35,Female,184.798,74.34824217,13,11.16,63,Medium,64,High,7.77,28,93,67,54,High,6,0.7071620050338109,0.11077550754189633,-0.4730707650055473,-0.5334201620525495
43,31,Male,152.167,43.85072129,14,11.97,46,Medium,90,Moderate,5.33,20,69,95,89,Low,8,-1.3583555094713597,0.3459305323238166,0.1534076254578139,-1.4842392897320071
44,35,Female,167.569,86.04216928,18,11.97,91,Medium,94,High,7.72,28,72,89,93,Moderate,7,0.6648358264578854,1.2865506314514976,0.1534076254578139,1.0326348717724398
45,26,Female,173.272,67.54202105,6,10.41,45,High,75,,7.62,24,94,77,50,Low,9,0.5801834693060345,-1.5353096659315455,-1.0531433487679185,-1.5401698266543282
46,38,Female,175.066,97.91167081,5,12.58,92,Medium,96,Low,6.09,18,65,61,79,High,8,-0.7149975951172902,-1.7704646907134658,0.6251999935845419,1.088565408694761
47,19,Female,168.724,92.17378172,18,9.9,63,High,81,Moderate,8.8,17,99,72,,,1,1.5790812836978798,1.2865506314514976,-1.4475927057263307,-0.5334201620525495
48,37,Male,173.416,56.8079824,14,10.12,72,Low,59,Low,5.6,19,91,63,69,Moderate,5,-1.1297941451613616,0.3459305323238166,-1.277438081156036,-0.030045329751660053
49,32,Female,191.189,58.12420032,17,9.51,88,Medium,65,Moderate,6.73,9,57,,55,High,3,-0.1732225093454416,1.0513956066695773,-1.7492304492827642,0.8648432610054767
50,24,Male,185.465,52.42034718,15,10.03,68,High,56,Moderate,8.77,4,99,84,71,Low,3,1.5536855765523236,0.5810855571057368,-1.3470467912075204,-0.25376747744094424
51,29,Female,160.505,46.20304572,13,11.63,82,Low,66,Moderate,6.68,26,70,89,67,Low,4,-0.21554868792136783,0.11077550754189633,-0.1095586125144609,0.5292600394715504
52,25,,164.031,63.66734238,14,12.23,61,Medium,72,High,7.55,21,50,70,57,Low,2,0.5209268192997383,0.3459305323238166,0.35449945449543574,-0.6452812358971916
53,32,Female,168.888,91.65620815,13,13.07,65,Low,75,Low,6.59,2,57,66,88,Moderate,0,-0.29173580935803384,0.11077550754189633,1.0041807483092913,-0.4215590882079074
54,,Female,152.509,41.27638946,19,9.98,67,Medium,70,Low,6.1,4,78,90,,Moderate,7,-0.7065323594021052,1.521705656233418,-1.3857182967916777,-0.3096980143632653
56,34,Female,153.783,81.52509181,10,12.86,60,Low,56,High,6.64,15,,98,65,,2,-0.24940963078210837,-0.5946895668038645,0.8417604248558267,-0.7012117728195126
57,21,Male,158.523,78.32039191,19,11.34,88,High,63,High,8.58,2,54,72,61,High,,1.3928460979638067,1.521705656233418,-0.33385334490257845,0.8648432610054767
59,25,Male,161.448,53.43667317,18,13.96,56,Medium,56,High,5.85,6,71,66,83,High,6,-0.9181632522817335,1.2865506314514976,1.6925335477073054,-0.9249339205087967
60,21,Male,159.729,81.42357762,15,10.42,59,Medium,58,High,5.12,7,96,95,63,Moderate,0,-1.5361254594902474,0.5810855571057368,-1.0454090476510869,-0.7571423097418336
,23,Male,165.507,33.11209957,17,13.67,88,Medium,57,High,6.47,19,50,63,82,Moderate,1,-0.39331863794025546,1.0513956066695773,1.4682388153191879,0.8648432610054767
66,39,Male,174.677,65.70480226,5,13.23,67,Low,67,Low,5.74,29,79,81,,Moderate,7,-1.0112808451487694,-1.7704646907134658,1.1279295661785973,-0.3096980143632653
67,35,Female,154.486,70.6841176,12,12.88,79,Medium,80,Low,8.47,12,99,80,90,Moderate,6,1.2997285050967706,-0.12437951724002395,0.857229027089491,0.3614684287045873
69,19,Female,162.67,65.98899043,7,13.21,46,Low,88,High,8.08,13,66,87,51,High,5,0.9695843122045502,-1.3001546411496254,1.1124609639449343,-1.4842392897320071
70,27,Female,171.953,68.44238324,17,10.34,40,High,84,Low,8.38,18,75,68,76,Moderate,5,1.2235413836601046,1.0513956066695773,-1.10728345658574,-1.8198225112659334
71,21,Male,164.441,82.65361034,8,10.56,71,Medium,67,High,8.04,8,57,85,58,Low,8,0.935723369343809,-1.0649996163677051,-0.937128832015444,-0.0859758666739811
72,31,Male,168.723,54.00517783,19,12.35,52,Medium,91,Moderate,7.5,21,96,68,50,Moderate,,0.4786006407238128,1.521705656233418,0.4473110678974145,-1.1486560681980809
73,,Female,154.394,59.47279836,19,13.59,69,Low,,Moderate,5.52,15,89,,60,Low,1,-1.1975160308828428,1.521705656233418,1.4063644063845349,-0.1978369405186232
75,25,Male,157.999,91.55132009,12,12.15,90,Low,63,Low,8.68,3,61,83,72,High,4,1.4774984551156576,-0.12437951724002395,0.2926250455607827,0.9767043348501188
76,31,Male,182.014,59.47450034,10,12.57,98,Medium,80,High,7.47,26,76,67,75,High,3,0.45320493357825725,-0.5946895668038645,0.6174656924677105,1.4241486302286872
77,25,Female,171.498,67.85075112,18,11.53,95,Medium,73,High,8.19,8,57,,53,High,,1.0627019050715862,1.2865506314514976,-0.18690162368277816,1.256357019461724
78,38,Female,171.409,60.99092978,14,12.71,58,Low,84,Low,6.93,4,74,75,67,Moderate,2,-0.003917795041739656,0.3459305323238166,0.7257459081033536,-0.8130728466641547
81,35,Female,179.664,76.9408647,18,11.93,68,Medium,,,7.74,10,82,,71,High,5,0.681766297888256,1.2865506314514976,0.12247042099048673,-0.25376747744094424
82,32,Female,164.891,54.3872477,12,11.47,88,Medium,52,Moderate,6.72,12,50,63,92,High,4,-0.1816877450606273,-0.12437951724002395,-0.23330743038376686,0.8648432610054767
,30,Female,168.488,,17,11.1,68,Low,92,High,6.97,14,80,78,71,High,7,0.02994314781900088,1.0513956066695773,-0.5194765717065374,-0.25376747744094424
85,26,Male,166.255,58.02647173,14,11.26,69,,89,Moderate,5.26,2,65,95,86,High,2,-1.4176121594776558,0.3459305323238166,-0.3957277538372314,-0.1978369405186232
87,30,Male,162.345,,15,9.8,79,Low,72,,6.08,5,97,69,61,Low,2,-0.7234628308324751,0.5810855571057368,-1.5249357168946465,0.3614684287045873
,24,Female,156.921,95.91621441,7,11.94,57,Low,88,High,6.24,6,90,77,98,Low,6,-0.588019059389513,-1.3001546411496254,0.13020472210731818,-0.8690033835864758
90,,Male,150.094,47.61097953,11,11.44,40,High,64,High,6.82,13,75,78,91,Low,8,-0.09703538790877557,-0.35953454202194424,-0.2565103337342626,-1.8198225112659334
91,,Male,161.425,60.30550751,7,11,53,Medium,98,High,5.05,9,77,95,87,High,4,-1.5953821094965435,-1.3001546411496254,-0.5968195828748533,-1.09272553127576
92,29,Male,178.4,63.94667565,19,12.79,90,High,53,High,5.29,22,51,69,67,Low,7,-1.3922164523321001,1.521705656233418,0.7876203170380052,0.9767043348501188
93,25,,187.813,95.27027447,11,12.62,86,Medium,78,Moderate,6.57,28,99,92,94,High,9,-0.30866628078840375,-0.35953454202194424,0.6561371980518678,0.7529821871608345
94,28,Female,163.226,44.04527034,18,10.25,89,Low,71,High,6.92,29,55,64,84,Moderate,9,-0.012383030756924603,1.2865506314514976,-1.1768921666372243,0.9207737979277977
95,36,Male,,72.13075138,15,13.45,41,Low,74,Moderate,7.4,15,58,94,79,Moderate,7,0.3939482835719619,0.5810855571057368,1.2980841907488918,-1.7638919743436126
96,34,Female,166.569,85.55737697,19,11.73,93,Low,62,High,6.17,14,82,93,73,Moderate,0,-0.6472757093958091,1.521705656233418,-0.032215601346145026,1.144495945617082
97,25,Female,171.839,65.35385345,16,12.84,67,High,67,Low,7.78,24,90,92,91,Moderate,4,0.7156272407489965,0.8162405818876571,0.8262918226221638,-0.3096980143632653
98,20,Female,175.779,52.45274452,17,12.08,88,Medium,82,Moderate,8.44,7,74,80,79,Low,2,1.2743327979512142,1.0513956066695773,0.23848493774296123,0.8648432610054767
,20,Female,191.346,68.38022553,6,13.99,89,Low,65,Low,8.12,25,97,76,63,High,0,1.00344525506529,-1.5353096659315455,1.7157364510577997,0.9207737979277977
100,18,Male,,92.9065189,14,12.89,69,Low,94,Moderate,5.16,20,,81,55,High,,-1.5022645166295068,0.3459305323238166,0.8649633282063224,-0.1978369405186232
102,,Female,165.371,91.54275202,7,13,90,Low,93,High,5.42,,62,74,65,Moderate,2,-1.2821683880346937,-1.3001546411496254,0.9500406404914697,0.9767043348501188
103,24,,170.866,73.88000368,7,10.14,43,Medium,51,High,5.97,6,80,94,56,Moderate,9,-0.8165804236995118,-1.3001546411496254,-1.2619694789223717,-1.6520309004989704
105,24,Male,163.2,73.28024638,13,12.71,47,Medium,91,Moderate,5.57,27,60,66,58,Moderate,8,-1.1551898523069164,0.11077550754189633,0.7257459081033536,-1.4283087528096863
106,,Female,167.366,62.73436462,11,11.72,68,,83,Low,7,25,53,91,,High,,0.055338854964556476,-0.35953454202194424,-0.03994990246297648,-0.25376747744094424
,25,Male,167.193,94.5828998,9,12.9,94,Medium,79,High,7.47,25,83,70,70,High,4,0.45320493357825725,-0.8298445915857847,0.8726976293231539,1.2004264825394029
108,29,Female,163.96,73.37853029,16,9.96,78,High,62,Low,7.81,,87,69,84,High,6,0.7410229478945515,0.8162405818876571,-1.4011868990253407,0.3055378917822662
109,19,Female,164.507,72.49644304,14,11.91,42,Low,62,Low,7.24,2,95,68,51,High,1,0.2585045121289997,0.3459305323238166,0.10700181875682382,-1.7079614374212915
110,18,Male,180.968,,11,11.2,71,High,,High,5.04,3,53,,76,High,8,-1.6038473452117283,-0.35953454202194424,-0.4421335605382215,-0.0859758666739811
111,33,Male,191.131,83.86228575,13,11.56,49,Low,81,,6.31,5,87,72,51,High,8,-0.5287624093832176,0.11077550754189633,-0.16369872033228242,-1.316447678965044
112,22,Female,165.016,,5,12.22,49,,81,Low,7.07,5,68,84,84,High,3,0.11459550497085261,-1.7704646907134658,0.34676515337860425,-1.316447678965044
113,20,Female,166.756,49.73917071,11,11.76,58,Medium,84,High,5.35,1,55,61,67,Moderate,3,-1.3414250380409898,-0.35953454202194424,-0.009012697995650677,-0.8130728466641547
114,29,Male,175.246,60.44146702,10,11.93,85,Low,88,High,6.4,8,83,94,63,High,5,-0.45257528794655083,-0.5946895668038645,0.12247042099048673,0.6970516502385136
116,39,Male,170.842,58.31379656,18,11.34,99,High,78,Moderate,5.31,24,62,80,67,Moderate,9,-1.3752859809017304,1.2865506314514976,-0.33385334490257845,1.4800791671510083
117,20,Female,179.726,56.91844352,16,12.97,72,High,98,Low,6.59,4,90,77,59,Moderate,9,-0.29173580935803384,0.8162405818876571,0.9268377371409754,-0.030045329751660053
